Unnamed: 0,character,line,movie
3272,NATASHA ROMANOFF,"I’m in the middle of an interrogation, and this moron is giving me everything. ",The Avengers
3273,GEORGI LUCHKOV,I not- give everything.,The Avengers
3274,NATASHA ROMANOFF,"Look, you can’t pull me out of this right now. ",The Avengers
3275,PHIL COULSON,Natasha...Barton’s been compromised.,The Avengers
3276,NATASHA ROMANOFF,Let me put you on hold. Where’s Barton now?,The Avengers
3277,PHIL COULSON,We don’t know.,The Avengers
3278,NATASHA ROMANOFF,But he’s alive?,The Avengers
3279,PHIL COULSON,"We think so.  We’ll brief you on everything when you get back. But first, we need you to talk to the big guy. ",The Avengers
3280,NATASHA ROMANOFF,"Coulson, you know that Stark trusts me about as far as he can throw me. ",The Avengers
3281,PHIL COULSON,Oh I’ve got Stark! You get the big guy.,The Avengers
3282,NATASHA ROMANOFF,My God.,The Avengers
3283,CALCUTTA WOMAN,Who are you? Get out! There is sickness here!,The Avengers
3284,YOUNG GIRL,Are you the doctor? I need a doctor. My father. My father’s not waking up! He has a fever and he’s moaning but his eyes won’t open.,The Avengers
3285,BRUCE BANNER,Slow down.,The Avengers
3286,YOUNG GIRL,My father-,The Avengers
3287,BRUCE BANNER,Like them?,The Avengers
3288,YOUNG GIRL,Please!,The Avengers
3289,BRUCE BANNER,Should have got paid upfront Banner.,The Avengers
3290,NATASHA ROMANOFF,"You know, for a man who’s supposed to be... ...avoiding stress, you picked a hell of a place to settle. ",The Avengers
3291,BRUCE BANNER,Avoiding stress isn’t the secret.,The Avengers
3292,NATASHA ROMANOFF,Then what is it? Yoga?,The Avengers
3293,BRUCE BANNER,And you brought me to the end of the city. Smart.  I- uh- I assume the whole place is surrounded.,The Avengers
3294,NATASHA ROMANOFF,Just you and me.,The Avengers
3295,BRUCE BANNER,"And your actress buddy? She a spy too, they start that wrong? ",The Avengers
3296,NATASHA ROMANOFF,I did.,The Avengers
3297,BRUCE BANNER,Who are you?,The Avengers
3298,NATASHA ROMANOFF,Natasha Romanoff.,The Avengers
3299,BRUCE BANNER,"Are you here to kill me, Ms Romanoff? ’Cause that’s not going to work out for everyone. ",The Avengers
3300,NATASHA ROMANOFF,"No, no. Of course not. I’m here on behalf of SHIELD. ",The Avengers
3301,BRUCE BANNER,SHIELD. How’d they find me?,The Avengers
3302,NATASHA ROMANOFF,"We never lost you, Doctor. We’ve kept our distance, even helped keep some other interested parties off your scent. ",The Avengers
3303,BRUCE BANNER,Why?,The Avengers
3304,NATASHA ROMANOFF,Nick Fury seems to trust you. But now we need you to come in.,The Avengers
3305,BRUCE BANNER,What if I say no?,The Avengers
3306,NATASHA ROMANOFF,I’ll persuade you. ,The Avengers
3307,BRUCE BANNER,And what if the- Other Guy says no?,The Avengers
3308,NATASHA ROMANOFF,You’ve been more than a year without an incident. I don’t think you want to break that streak.,The Avengers
3309,BRUCE BANNER,"Well, I don’t every time get what I want. ",The Avengers
3310,NATASHA ROMANOFF,"Doctor, we’re facing a potential global catastrophe. ",The Avengers
3311,BRUCE BANNER,Oh those I actively try to avoid.,The Avengers
3312,NATASHA ROMANOFF,This  is the Tesseract.  It has the potential energy to wipe out the planet.,The Avengers
3313,BRUCE BANNER,What does Fury want me to do? Swallow it?,The Avengers
3314,NATASHA ROMANOFF,"He wants you to find it. It’s been taken. It emits a Gamma signature that’s too weak for us to trace. No one knows Gamma radiation like you do. If there was, that’s where I’d be. ",The Avengers
3315,BRUCE BANNER,So Fury isn’t after the monster?,The Avengers
3316,NATASHA ROMANOFF,Not that he’s told me.,The Avengers
3317,BRUCE BANNER,And he tells you everything?,The Avengers
3318,NATASHA ROMANOFF,"Talk to Fury, he needs you on this. ",The Avengers
3319,BRUCE BANNER,He needs me in a cage?,The Avengers
3320,NATASHA ROMANOFF,No one’s going to put you in a-,The Avengers
3321,BRUCE BANNER,STOP LYING TO ME!  I’m sorry. That was mean. I just wanted to see what you’d do.  Why don’t we do this the easy way where you don’t use that and the- Other Guy doesn’t make a mess? Okay?....Natasha.,The Avengers
3322,NATASHA ROMANOFF,Stand down. We’re good here.,The Avengers
3323,BRUCE BANNER,Just you and me?,The Avengers
3324,COUNCILMAN,"This is out of line, Director. You’re dealing with forces you can’t control. ",The Avengers
3325,NICK FURY,"You ever been in a war, councilman? In a fire fight? Did you feel an over abundance of control? ",The Avengers
3326,COUNCILMAN,You’re saying that this Asgard is declaring war on our planet?,The Avengers
3327,NICK FURY,"Not Asgard, Loki. ",The Avengers
3328,COUNCILWOMAN,"He can’t be working alone. What about the other one, his brother? ",The Avengers
3329,NICK FURY,Our intelligence says Thor is not a hostile. But he’s worlds away and we can’t depend on him to help either. It’s up to us.,The Avengers
3330,COUNCILMAN,"Which is why you should be focusing on Phase Two, it was designed for exactly this purpose. ",The Avengers
3331,NICK FURY,Phase Two isn’t ready; our enemy is. We need a response team.,The Avengers
3332,COUNCILMAN,The Avengers Initiative was shut down.,The Avengers
3333,NICK FURY,This isn’t about the Avengers.,The Avengers
3334,COUNCILMAN,We’re running the world’s greatest covert security network and you’re gonna leave the fate of the human race to a handful of freaks.,The Avengers
3335,NICK FURY,"I’m not leaving anything to anyone. We need a response team. These people may be isolated, unbalanced even, but I believe, with the right push, they can be exactly what we need. ",The Avengers
3336,COUNCILWOMAN,You believe!,The Avengers
3337,COUNCILMAN,"War isn’t won by sentiment, Director. ",The Avengers
3338,NICK FURY,"No, It’s won by soldiers.",The Avengers
3339,STEVE ROGERS,There’s not enough time. I gotta put her in the water.,The Avengers
3340,PEGGY CARTER,You won’t be alone.,The Avengers
3341,SCIENTIST,Oh my God. This guy’s still alive.,The Avengers
3342,NICK FURY,Trouble sleeping?,The Avengers
3343,STEVE ROGERS,"Slept for seventy years, Sir. I think I’ve had my fill.",The Avengers
3344,NICK FURY,"Then you should be out, celebrating, seeing the world. ",The Avengers
3345,STEVE ROGERS,"When I went under, the world was at war. I wake up- they say we won. They didn’t say what we lost. ",The Avengers
3346,NICK FURY,"We’ve made some mistakes along the way, some very recently. ",The Avengers
3347,STEVE ROGERS,"You here with a mission, Sir? ",The Avengers
3348,NICK FURY,I am.,The Avengers
3349,STEVE ROGERS,Trying to get me back in the world?,The Avengers
3350,NICK FURY,Trying to save it.,The Avengers
3351,STEVE ROGERS,HYDRA’s secret weapon.,The Avengers
3352,NICK FURY,Howard Stark fished that out of the ocean when he was looking for you. He thought what we think. The Tesseract could be the key to unlimited sustainable energy. That’s something the world sorely needs.,The Avengers
3353,STEVE ROGERS,Who took it from you?,The Avengers
3354,NICK FURY,He’s called Loki. He’s- not from around here. There’s a lot we’ll have to bring you up to speed on if you’re in. The world has gotten even stranger than you already know.,The Avengers
3355,STEVE ROGERS,At this point I doubt anything would surprise me.,The Avengers
3356,NICK FURY,Ten bucks says you’re wrong. There’s a debriefing packet waiting for you back at your apartment. Is there anything you can tell us about the Tesseract that we ought to know now?,The Avengers
3357,STEVE ROGERS,You should have left it in the ocean.,The Avengers
3358,TONY STARK,Good to go on this end. The rest is up to you.,The Avengers
3359,PEPPER POTTS,You disconnected the transmission lines? Are we off the grid?,The Avengers
3360,TONY STARK,Stark Tower’s about to become a beacon of self-sustaining clean energy.,The Avengers
3361,PEPPER POTTS,"Well, assuming the arc reactor takes over and it actually works.",The Avengers
3362,TONY STARK,I assume. Light her up.,The Avengers
3363,PEPPER POTTS,How does it look?,The Avengers
3364,TONY STARK,Like Christmas... ...but with more- me.,The Avengers
3365,PEPPER POTTS,We’ve got to go wider on the public awareness campaign. You need to do some press. I’m in DC tomorrow. I’m working on the zoning for the next three buildings.,The Avengers
3366,TONY STARK,"Pepper, you’re killing me at the moment. Remember, enjoy the moment. ",The Avengers
3367,PEPPER POTTS,Then get in here and I will.,The Avengers
3368,JARVIS,"Sir, Agent Coulson of SHIELD is on the line. ",The Avengers
3369,TONY STARK,I’m not in. I’m actually out.,The Avengers
3370,JARVIS,"Sir, I’m afraid he’s insisting. ",The Avengers
3371,TONY STARK,"Grow a spine, JARVIS. I got a date.",The Avengers
3372,PEPPER POTTS,Levels are holding steady- I think.,The Avengers
3373,TONY STARK,"Of course they are, I was directly involved. Which leads me to my next question. How does it feel to be a genius?",The Avengers
3374,PEPPER POTTS,"Well, ah, I really wouldn’t know now would I? ",The Avengers
3375,TONY STARK,What do you mean? All this came from you.,The Avengers
3376,PEPPER POTTS,"No, all this came from that.",The Avengers
3377,TONY STARK,"Give yourself some credit, please. Stark Tower is your baby. Give yourself- twelve percent of the credit. ",The Avengers
3378,PEPPER POTTS,Twelve percent?,The Avengers
3379,TONY STARK,An argument can be made for fifteen.,The Avengers
3380,PEPPER POTTS,Twelve percent of my baby?,The Avengers
3381,TONY STARK,"Well, I did do all the heavy lifting. Literally, I lifted the heavy things and sorry but, the security snafu? That was on you. ",The Avengers
3382,PEPPER POTTS,Oh!,The Avengers
3383,TONY STARK,My private elevator.,The Avengers
3384,PEPPER POTTS,You mean our elevator.,The Avengers
3385,TONY STARK,"Yeah, it was teeming with sweaty workmen. I’m going to pay for that comment about percentages in some subtle way later aren’t I? ",The Avengers
3386,PEPPER POTTS,Not gonna be that subtle.,The Avengers
3387,TONY STARK,"I’ll tell you what, next building is gonna say ’Potts’ on the tower. ",The Avengers
3388,PEPPER POTTS,On the lease!,The Avengers
3389,TONY STARK,"Call your mum, can you bunk over? ",The Avengers
3390,JARVIS,"Sir, the telephone. I’m afraid my protocols are being overridden. ",The Avengers
3391,TONY STARK,Ah-,The Avengers
3392,PHIL COULSON,"Mr. Stark, we need to talk. ",The Avengers
3393,TONY STARK,You have reached the Life Model Decoy of Tony Stark. Please leave a message.,The Avengers
3394,PHIL COULSON,This is urgent.,The Avengers
3395,TONY STARK,Then leave it urgently.  Security breach. That’s on you!,The Avengers
3396,PEPPER POTTS,Phil! Come in!,The Avengers
3397,TONY STARK,Phil?,The Avengers
3398,PHIL COULSON,I can’t stay.,The Avengers
3399,TONY STARK,"Uh, his first name is Agent. ",The Avengers
3400,PEPPER POTTS,"Come on in, we’re celebrating. ",The Avengers
3401,TONY STARK,Which is why he can’t stay.,The Avengers
3402,PHIL COULSON,"We need you to look this over, as soon as possible.",The Avengers
3403,TONY STARK,I don’t like being handed things.,The Avengers
3404,PEPPER POTTS,"That’s fine because I love to be handed things. So, let’s trade. Thank you. ",The Avengers
3405,TONY STARK,Official consulting hours are between eight and five every other Thursday.,The Avengers
3406,PHIL COULSON,This isn’t a consultation.,The Avengers
3407,PEPPER POTTS,Is this about the Avengers?  Which I know nothing about.,The Avengers
3408,TONY STARK,"The Avengers Initiative was scrapped, I thought, and I didn’t even qualify. ",The Avengers
3409,PEPPER POTTS,I didn’t know that either.,The Avengers
3410,TONY STARK,"Yeah, apparently I’m volatile, self-obsessed, don’t play well with others. ",The Avengers
3411,PEPPER POTTS,That I did know.,The Avengers
3412,PHIL COULSON,This isn’t about personality profiles anymore.,The Avengers
3413,TONY STARK,"Whatever! Ms. Potts, got a sec? ",The Avengers
3414,PEPPER POTTS,Half a moment.,The Avengers
3415,TONY STARK,"You know, I thought we were having a moment. ",The Avengers
3416,PEPPER POTTS,I was having twelve percent of a moment.  This seems serious. Phil looks pretty shaken.,The Avengers
3417,TONY STARK,How would you notice- why is he Phil?,The Avengers
3418,PEPPER POTTS,What is all this?,The Avengers
3419,TONY STARK,This is- ah... ...this!,The Avengers
3420,PEPPER POTTS,I’m going to take the jet to DC tonight.,The Avengers
3421,TONY STARK,Tomorrow.,The Avengers
3422,PEPPER POTTS,You have homework. You have a lot of homework.,The Avengers
3423,TONY STARK,"Well, what if I didn’t? ",The Avengers
3424,PEPPER POTTS,"If you didn’t? You mean when you finished? Well, um, then-",The Avengers
3425,TONY STARK,Square deal. Fly safe. They kiss.,The Avengers
3426,PEPPER POTTS,"Work hard.  So, any chance you’re driving by LaGuardia? ",The Avengers
3427,PHIL COULSON,I can drop you off.,The Avengers
3428,PEPPER POTTS,"Fantastic. Ooh, I want to hear about the ah- cellist, is that still a thing?",The Avengers
3429,PHIL COULSON,She moved back to Portland.,The Avengers
3430,PEPPER POTTS,What?...Boo.,The Avengers
3431,FACELESS PILOT,"We’re about forty minutes out from home base, Sir.",The Avengers
3432,STEVE ROGERS,"So, this Doctor Banner was trying to replicate the serum they used on me? ",The Avengers
3433,PHIL COULSON,A lot of people were. You were the world’s first superhero. Banner thought Gamma radiation might hold the key to unlocking Erskine’s original formula.,The Avengers
